id,numero,tema,pregunta,A,B,C,respuesta,archivo,requiere_figura
PREG202411060117,5013,INSTRUMENTOS DE VUELO,5013.- ¿Cuál es el símbolo correcto para la velocidad de pérdida o la velocidad mínima de vuelo estable en una configuración determinada?,Vs.,VS1.,VS0.,B,DownloadBalotario (1).pdf,False
PREG202411060118,5014,INSTRUMENTOS DE VUELO,5014.- ¿Cuál es el símbolo correcto para la velocidad de pérdida o la velocidad mínima de vuelo a la que se puede controlar el avión?,VS.,VS1.,VS0.,A,DownloadBalotario (1).pdf,False
PREG202411060119,5015.1,INSTRUMENTOS DE VUELO,5015.1.-Se define VF como:,velocidad de diseño de los flaps.,velocidad de operación de los flaps.,velocidad máxima con flaps extendidos.,A,DownloadBalotario (1).pdf,False
PREG202411060120,5015.2,INSTRUMENTOS DE VUELO,5015.2.- Se define VNO como:,velocidad máxima de crucero estructural.,velocidad de operación normal.,velocidad máxima de operación.,A,DownloadBalotario (1).pdf,False
PREG202411060121,5016.1,INSTRUMENTOS DE VUELO,5016.1.-Se define VLE como:,velocidad máxima con el tren de aterrizaje extendido.,velocidad máxima para la operación del tren de aterrizaje.,velocidad máxima con los flaps de borde de ataque extendidos.,A,DownloadBalotario (1).pdf,False
PREG202411060122,5016.2,INSTRUMENTOS DE VUELO,5016.2.- Se define VNE como:,velocidad máxima para extender la rueda de nariz.,velocidad de nunca exceder.,velocidad máxima con el tren de aterrizaje extendido.,B,DownloadBalotario (1).pdf,False
PREG202411060123,5016.3,INSTRUMENTOS DE VUELO,5016.3.-Se define VY como:,velocidad para el mejor régimen de descenso.,velocidad de mejor ángulo de ascenso.,velocidad de mejor régimen de ascenso.,C,DownloadBalotario (1).pdf,False
PREG202411060124,5016.4,INSTRUMENTOS DE VUELO,5016.4.- Los aviones más modernos tienen una velocidad de maniobra que generalmente se puede calcular de la siguiente manera:,1.2 VS0.,1.7 VS0.,la mitad de la velocidad de pérdida.,B,DownloadBalotario (1).pdf,False
PREG202411060125,5114,INSTRUMENTOS DE VUELO,"5114.- ¿Qué ajuste de altímetro se requiere cuando se opera una aeronave a 18,000 pies sobre el nivel del mar?",Ajuste actual del altímetro de una estación a lo largo de la ruta.,29.92'' Hg.,Ajuste del altímetro correspondiente al aeropuerto de salida o destino.,B,DownloadBalotario (1).pdf,False
PREG202411060126,5177,INSTRUMENTOS DE VUELO,5177.- ¿Qué velocidad sería incapaz de identificar un piloto por el código de colores de un indicador de velocidad?,La velocidad de nunca exceder.,La velocidad de pérdida sin potencia.,La velocidad de maniobra.,C,DownloadBalotario (1).pdf,False
PREG202411060127,5177.1,INSTRUMENTOS DE VUELO,5177.1.- La relación entre la velocidad verdadera de un avión y la velocidad del sonido en las mismas condiciones atmosféricas es:,velocidad equivalente.,flujo de aire transónico.,número Mach.,C,DownloadBalotario (1).pdf,False
